170 1:85.57114228456913
-179 1:-89.17835671342685
-130 1:-65.13026052104209
-145 1:-72.34468937875752
98 1:49.498997995992
84 1:42.28456913827657
-61 1:-30.661322645290582
-23 1:-11.422845691382761
67 1:33.46693386773546
-156 1:-77.9559118236473
-7 1:-4.208416833667329
43 1:21.843687374749507
116 1:57.91583166332666
-18 1:-9.418837675350701
-109 1:-54.70941883767535
-135 1:-67.53507014028057
-56 1:-27.855711422845687
-174 1:-87.5751503006012
-143 1:-71.9438877755511
144 1:72.74549098196394
36 1:17.835671342685373
15 1:8.61723446893788
157 1:79.15831663326654
23 1:12.625250501002014
-176 1:-88.37675350701403
152 1:76.35270541082164
41 1:21.04208416833667
-79 1:-40.280561122244485
36 1:18.23647294589179
-193 1:-95.59118236472946
-176 1:-87.97595190380761
-196 1:-97.99599198396794
105 1:52.705410821643284
-103 1:-51.503006012024045
142 1:71.54308617234469
-160 1:-80.36072144288578
80 1:40.28056112224451
-101 1:-51.102204408817634
-166 1:-83.56713426853707
-89 1:-44.68937875751503
-198 1:-99.19839679358718
199 1:100.0
-26 1:-13.827655310621239
-126 1:-63.52705410821643
-13 1:-6.613226452905806
-90 1:-46.69338677354709
149 1:74.34869739478958
-152 1:-75.55110220440882
-171 1:-85.57114228456913
-25 1:-11.823647294589179
-45 1:-22.24448897795591
62 1:31.86372745490982
133 1:67.13426853707415
-120 1:-61.523046092184366
-121 1:-61.92384769539078
188 1:94.78957915831663
23 1:11.422845691382776
-75 1:-37.4749498997996
102 1:51.10220440881764
-169 1:-84.3687374749499
-31 1:-15.831663326653299
-58 1:-29.058116232464926
102 1:51.50300601202406
177 1:88.77755511022045
97 1:49.89979959919839
177 1:89.57915831663328
136 1:68.73747494989979
146 1:73.54709418837675
72 1:35.87174348697394
57 1:29.85971943887776
-33 1:-17.835671342685373
160 1:79.95991983967937
84 1:42.685370741482984
-102 1:-51.90380761523046
-65 1:-31.86372745490982
74 1:37.47494989979961
-96 1:-47.49498997995992
-19 1:-10.62124248496994
-83 1:-43.08617234468938
-141 1:-71.54308617234469
-125 1:-62.725450901803605
-122 1:-60.32064128256513
-118 1:-59.11823647294589
164 1:83.16633266533066
112 1:56.312625250501014
0 1:0.20040080160320883
-167 1:-84.76953907815631
-60 1:-30.260521042084164
-142 1:-71.14228456913827
-69 1:-35.07014028056112
-9 1:-5.010020040080164
197 1:98.79759519038078
-145 1:-73.54709418837675
-52 1:-27.454909819639283
192 1:95.99198396793588
-37 1:-18.236472945891776
-29 1:-15.030060120240478
-153 1:-76.75350701402806
-197 1:-99.59919839679358
57 1:28.25651302605212
-50 1:-25.851703406813627
76 1:37.87575150300603
-198 1:-98.39679358717434
87 1:43.88777555110221
-173 1:-86.37274549098197
154 1:77.5551102204409
113 1:57.11422845691382
187 1:93.5871743486974
-136 1:-68.73747494989979
-64 1:-33.06613226452906
-188 1:-94.78957915831663
-145 1:-72.74549098196393
163 1:82.36472945891785
48 1:23.44689378757515
163 1:81.56312625250501
-38 1:-19.438877755511015
-16 1:-7.815631262525045
96 1:48.697394789579164
35 1:17.034068136272552
-180 1:-90.38076152304609
-184 1:-92.38476953907815
-13 1:-7.014028056112224
12 1:6.6132264529058205
2 1:1.4028056112224476
23 1:11.823647294589179
187 1:93.18637274549098
-133 1:-67.13426853707415
43 1:22.645290581162328
-163 1:-82.36472945891784
81 1:40.681362725450896
12 1:6.212424849699403
146 1:73.94789579158316
-181 1:-90.78156312625251
89 1:44.288577154308626
-146 1:-73.94789579158316
-93 1:-46.29258517034068
-196 1:-96.7935871743487
-129 1:-64.32865731462925
-65 1:-33.46693386773546
94 1:46.693386773547104
43 1:21.44288577154309
15 1:7.414829659318642
148 1:74.749498997996
152 1:76.75350701402806
168 1:84.76953907815633
50 1:24.649298597194388
27 1:14.629258517034074
-81 1:-39.879759519038075
-141 1:-69.53907815631263
-51 1:-25.45090180360721
90 1:45.49098196392785
-59 1:-29.859719438877747
-117 1:-58.71743486973948
123 1:61.923847695390776
39 1:20.24048096192385
-25 1:-13.026052104208418
-158 1:-79.55911823647294
-180 1:-89.97995991983967
-157 1:-78.3567134268537
123 1:61.52304609218439
142 1:70.34068136272546
-156 1:-79.15831663326654
183 1:91.18236472945893
-112 1:-56.71342685370741
-115 1:-57.91583166332665
122 1:60.72144288577155
145 1:71.9438877755511
170 1:84.36873747494991
-196 1:-98.79759519038076
82 1:41.08216432865731
192 1:96.3927855711423
77 1:38.677354709418836
110 1:55.9118236472946
116 1:58.316633266533074
-100 1:-49.899799599198396
123 1:61.12224448897797
